,imdb_id,tmdb_id
0,tt4633694,324857.0
1,tt1477834,297802.0
2,tt4154756,299536.0
3,tt4701182,424783.0
4,tt6491178,438674.0
5,tt5463162,383498.0
6,tt1571234,428078.0
7,tt1825683,284054.0
8,tt3501632,284053.0
9,tt4881806,351286.0
10,tt2015381,118340.0
11,tt4530422,438799.0
12,tt6998518,460885.0
13,tt5164214,402900.0
14,tt4532826,375588.0
15,tt1386697,297761.0
16,tt0848228,24428.0
17,tt5095030,363088.0
18,tt3896198,283995.0
19,tt1270797,335983.0
20,tt6133466,442249.0
21,tt4951982,401200.0
22,tt7262882,450001.0
23,tt0458339,1771.0
24,tt3778644,348350.0
25,tt0446029,22538.0
26,tt2250912,315635.0
27,tt1677720,333339.0
28,tt7137380,471507.0
29,tt2395427,99861.0
30,tt3606756,260513.0
31,tt6523720,416194.0
32,tt0468569,155.0
33,tt0974015,141052.0
34,tt6340604,460059.0
35,tt3731562,293167.0
36,tt1375666,27205.0
37,tt4912910,353081.0
38,tt0800369,10195.0
39,tt0371746,1726.0
40,tt0451279,297762.0
41,tt6205872,446101.0
42,tt3498820,271110.0
43,tt1392190,76341.0
44,tt0133093,603.0
45,tt1431045,293660.0
46,tt5177088,446807.0
47,tt0499549,19995.0
48,tt1846589,399402.0
49,tt1981115,76338.0
50,tt2911666,245891.0
51,tt2283362,353486.0
52,tt1300854,68721.0
53,tt2527336,181808.0
54,tt1469304,339846.0
55,tt1843866,100402.0
56,tt0052530,26854.0
57,tt0375912,4836.0
58,tt3385516,246655.0
59,tt3890160,339403.0
60,tt1211837,284052.0
61,tt1345836,49026.0
62,tt0087182,841.0
63,tt0800080,1724.0
64,tt1259528,449443.0
65,tt1972591,274857.0
66,tt4779682,345940.0
67,tt0172495,98.0
68,tt0409459,13183.0
69,tt4425200,324552.0
70,tt3829266,346910.0
71,tt2873282,401981.0
72,tt0110413,101.0
73,tt1228705,10138.0
74,tt2704998,445571.0
75,tt5758778,447200.0
76,tt5013056,374720.0
77,tt5052474,400535.0
78,tt3717490,305470.0
79,tt0167190,1487.0
80,tt3371366,335988.0
81,tt0478970,102899.0
82,tt3397884,273481.0
83,tt3315342,263115.0
84,tt1631867,137113.0
85,tt6499752,500664.0
86,tt1663202,281957.0
87,tt0381061,36557.0
88,tt0076759,11.0
89,tt2488496,140607.0
90,tt1219827,315837.0
91,tt1232829,64688.0
92,tt0120915,1893.0
93,tt2345759,282035.0
94,tt0455944,156022.0
95,tt3748528,330459.0
96,tt0317705,9806.0
97,tt1137450,395990.0
98,tt0113189,710.0
99,tt0145487,557.0
100,tt2231461,427641.0
101,tt0266697,24.0
102,tt2872732,240832.0
103,tt0092099,744.0
104,tt2379713,206647.0
105,tt1365519,338970.0
106,tt0120616,564.0
107,tt6905696,457943.0
108,tt0119116,18.0
109,tt2975590,209112.0
110,tt1790809,166426.0
111,tt3766354,345887.0
112,tt1392170,70160.0
113,tt1289401,43074.0
114,tt6850820,458594.0
115,tt6679794,454227.0
116,tt0369610,135397.0
117,tt0978764,23629.0
118,tt0095016,562.0
119,tt4560436,347375.0
120,tt1877832,127585.0
121,tt0090605,679.0
122,tt1028528,1991.0
123,tt1270798,49538.0
124,tt0892769,10191.0
125,tt0116367,755.0
126,tt2239822,339964.0
127,tt0087538,1885.0
128,tt0087332,620.0
129,tt0144117,8374.0
130,tt0372784,272.0
131,tt1340138,87101.0
132,tt0093773,106.0
133,tt0416449,1271.0
134,tt0918940,258489.0
135,tt0108358,11969.0
136,tt1735898,58595.0
137,tt1321870,82682.0
138,tt0120903,36657.0
139,tt4500922,336843.0
140,tt0086190,1892.0
141,tt2802144,207703.0
142,tt4649466,343668.0
143,tt0072308,5919.0
144,tt1646971,82702.0
145,tt7961060,503314.0
146,tt0093894,865.0
147,tt0103064,280.0
148,tt0088247,218.0
149,tt0082971,85.0
150,tt0183790,9476.0
151,tt4172430,300671.0
152,tt0416236,8204.0
153,tt9063106,546230.0
154,tt1979320,96721.0
155,tt2713180,228150.0
156,tt0286716,1927.0
157,tt0033717,27725.0
158,tt0796366,13475.0
159,tt4630562,337339.0
160,tt1483013,75612.0
161,tt2333784,138103.0
162,tt0418279,1858.0
163,tt0040369,37347.0
164,tt1538403,123553.0
165,tt0413300,559.0
166,tt0330793,7220.0
167,tt0121766,1895.0
168,tt5519340,400106.0
169,tt0458525,2080.0
170,tt0098206,10135.0
171,tt3707104,345009.0
172,tt1413492,429351.0
173,tt1790864,198663.0
174,tt1104001,20526.0
175,tt2179136,190859.0
176,tt0325980,22.0
177,tt1074638,37724.0
178,tt6921996,463272.0
179,tt1840309,157350.0
180,tt1371111,83542.0
181,tt6663582,454992.0
182,tt0121765,1894.0
183,tt0120647,8656.0
184,tt2557478,268896.0
185,tt0080684,1891.0
186,tt0434409,752.0
187,tt1250777,23483.0
188,tt0143145,36643.0
189,tt0378194,393.0
190,tt0055928,646.0
191,tt0111282,2164.0
192,tt2404435,333484.0
193,tt0770828,49521.0
194,tt0213149,676.0
195,tt0093507,11649.0
196,tt0364569,670.0
197,tt0338526,7131.0
198,tt1648190,353491.0
199,tt2304933,299687.0
200,tt0232500,9799.0
201,tt3312180,472715.0
202,tt0493464,8909.0
